county,year,population,fips,state,pop_date
SOLANO,2015,433378.0,06095,CA,2015-07-01
SOLANO,2016,438834.0,06095,CA,2016-07-01
SOLANO,2017,443554.0,06095,CA,2017-07-01
SOLANO,2018,445931.0,06095,CA,2018-07-01
SOLANO,2019,447434.0,06095,CA,2019-07-01
SOLANO,2020,446935.0,06095,CA,2020-07-01
SOLANO,2021,449116.0,06095,CA,2021-07-01
SOLANO,2022,445881.0,06095,CA,2022-07-01
SOLANO,2023,443749.0,06095,CA,2023-07-01
SONOMA,2015,500598.0,06097,CA,2015-07-01
SONOMA,2016,502445.0,06097,CA,2016-07-01
SONOMA,2017,502203.0,06097,CA,2017-07-01
SONOMA,2018,497221.0,06097,CA,2018-07-01
SONOMA,2019,492318.0,06097,CA,2019-07-01
SONOMA,2020,489819.0,06097,CA,2020-07-01
SONOMA,2021,484055.0,06097,CA,2021-07-01
SONOMA,2022,480623.0,06097,CA,2022-07-01
SONOMA,2023,478174.0,06097,CA,2023-07-01
STANISLAUS,2015,532954.0,06099,CA,2015-07-01
STANISLAUS,2016,538986.0,06099,CA,2016-07-01
STANISLAUS,2017,544494.0,06099,CA,2017-07-01
STANISLAUS,2018,547855.0,06099,CA,2018-07-01
STANISLAUS,2019,549761.0,06099,CA,2019-07-01
STANISLAUS,2020,550081.0,06099,CA,2020-07-01
STANISLAUS,2021,551353.0,06099,CA,2021-07-01
STANISLAUS,2022,548719.0,06099,CA,2022-07-01
STANISLAUS,2023,545939.0,06099,CA,2023-07-01
SUTTER,2015,95224.0,06101,CA,2015-07-01
SUTTER,2016,95769.0,06101,CA,2016-07-01
SUTTER,2017,96161.0,06101,CA,2017-07-01
SUTTER,2018,96348.0,06101,CA,2018-07-01
SUTTER,2019,96910.0,06101,CA,2019-07-01
SUTTER,2020,96385.0,06101,CA,2020-07-01
SUTTER,2021,98874.0,06101,CA,2021-07-01
SUTTER,2022,99090.0,06101,CA,2022-07-01
SUTTER,2023,98952.0,06101,CA,2023-07-01
TEHAMA,2015,63150.0,06103,CA,2015-07-01
TEHAMA,2016,63468.0,06103,CA,2016-07-01
TEHAMA,2017,63827.0,06103,CA,2017-07-01
TEHAMA,2018,63904.0,06103,CA,2018-07-01
TEHAMA,2019,65186.0,06103,CA,2019-07-01
TEHAMA,2020,64494.0,06103,CA,2020-07-01
TEHAMA,2021,65262.0,06103,CA,2021-07-01
TEHAMA,2022,64907.0,06103,CA,2022-07-01
TEHAMA,2023,64271.0,06103,CA,2023-07-01
TRINITY,2015,13094.0,06105,CA,2015-07-01
TRINITY,2016,12827.0,06105,CA,2016-07-01
TRINITY,2017,12727.0,06105,CA,2017-07-01
TRINITY,2018,12598.0,06105,CA,2018-07-01
TRINITY,2019,12337.0,06105,CA,2019-07-01
TRINITY,2020,12216.0,06105,CA,2020-07-01
TRINITY,2021,16050.0,06105,CA,2021-07-01
TRINITY,2022,15967.0,06105,CA,2022-07-01
TRINITY,2023,15939.0,06105,CA,2023-07-01
TULARE,2015,456794.0,06107,CA,2015-07-01
TULARE,2016,458991.0,06107,CA,2016-07-01
TULARE,2017,462072.0,06107,CA,2017-07-01
TULARE,2018,464279.0,06107,CA,2018-07-01
TULARE,2019,465751.0,06107,CA,2019-07-01
TULARE,2020,468680.0,06107,CA,2020-07-01
